quantity,value,units,sample_count,data_source,script_or_cell,status,notes,generated_in,lithology
predicted_orientation_range_max,101.0,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
observed_fit_bootstrap_sd_min,0.7,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,"digitization/fit scatter, NOT replicate scatter",session_2_20260807,
observed_fit_bootstrap_sd_max,6.3,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
null_loading_parallel_MAE,5.76,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_skill_and_mechanism.py,computed,trivial predictor: every specimen assigned the loading-parallel orientation,session_2_20260807,
null_loading_parallel_count_within_5deg,7,specimens,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_skill_and_mechanism.py,computed,,session_2_20260807,
model_skill_score_vs_null_at_frac_0p5,-0.246,dimensionless,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/skill_robustness.py,computed,negative => model does not beat the trivial null,session_2_20260807,
model_beats_null_at_any_fit_window,False,boolean,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/skill_robustness.py,computed,False at all five windows tested,session_2_20260807,
pearson_r_observed_vs_predicted_orientation,0.012,dimensionless,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/skill_robustness.py,computed,|r| > 0.532 required for p < 0.05 at n = 14; not significant at any window,session_2_20260807,
fracture_orientation_MAE_full_disc_window,3.85,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,widest fitting window; reported to show window dependence,session_2_20260807,
fracture_orientation_count_within_5deg_full_disc_window,10,specimens,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
observed_locus_count__matrix_crossing,11,specimens,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_skill_and_mechanism.py,computed,"geometric locus rule, 15 deg tolerance",session_2_20260807,
observed_locus_count__ambiguous_foliation_and_loading_coincide,3,specimens,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_skill_and_mechanism.py,computed,"geometric locus rule, 15 deg tolerance",session_2_20260807,
observed_mechanism_tensile_vs_shear_classified,0,specimens,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_skill_and_mechanism.py,not_computable,"A digitized trace carries no displacement or surface evidence, so opening vs sliding cannot be established; all 14 left unclassifiable rather than inferred.",session_2_20260807,
fig20_n_profiles_strictly_monotonic,0,profiles,14,physics_force/smoke_trace_sid1..14.csv + physics_force/run_summary.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,zero of 14 => monotonicity-based Mode-I inference withdrawn | reproduced 2026-08-08 from tracked data; supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity,session_2_20260807,
fig20_G_over_Gc_CV__low_angles,1.86,dimensionless,6,physics_force/smoke_trace_sid1..14.csv + physics_force/run_summary.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,oscillation amplitude; comparable across bands => not confined to intermediate angles | reproduced 2026-08-08 from tracked data; supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity,session_2_20260807,
fig20_G_over_Gc_CV__intermediate_angles,1.87,dimensionless,4,physics_force/smoke_trace_sid1..14.csv + physics_force/run_summary.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,oscillation amplitude; comparable across bands => not confined to intermediate angles | reproduced 2026-08-08 from tracked data; supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity,session_2_20260807,
fig20_G_over_Gc_CV__high_angles,1.84,dimensionless,4,physics_force/smoke_trace_sid1..14.csv + physics_force/run_summary.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,oscillation amplitude; comparable across bands => not confined to intermediate angles | reproduced 2026-08-08 from tracked data; supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity,session_2_20260807,
fig20_frac_steps_shear_dominated_at_0deg_gneiss,0.726,fraction,1,physics_force/smoke_trace_sid1..14.csv + physics_force/run_summary.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,contradicts Mode-I dominance at low angles | reproduced 2026-08-08 from tracked data; supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity,session_2_20260807,
fig20_frac_steps_shear_dominated_at_0deg_schist,0.584,fraction,1,physics_force/smoke_trace_sid1..14.csv + physics_force/run_summary.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed, | reproduced 2026-08-08 from tracked data; supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity,session_2_20260807,
fig20_Gc_nominal_value,1.0,dimensionless,14,physics_force/smoke_trace_sid1..14.csv + physics_force/run_summary.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,"Gc0 = 1.0 in every run => G/Gc is a relative along-path measure, not an absolute margin against toughness | reproduced 2026-08-08 from tracked data; supplementary Table tab:fig20_GGc and Fig fig:GGc_monotonicity",session_2_20260807,
tensile_anisotropy_ratio,1.6611,dimensionless,"7 angles, 52 total specimens",selected_all_samples.csv,"this-session standalone script (revision_outputs, Phase 8)",computed,max/min of per-angle mean tensile strength,session_1_20260716,Augen Gneiss
tensile_anisotropy_ratio,1.8045,dimensionless,"7 angles, 52 total specimens",selected_all_samples.csv,this-session standalone script,computed,,session_1_20260716,Psammatic Schist
compressive_anisotropy_ratio,1.7516,dimensionless,"7 angles, 52 total specimens",selected_all_samples.csv,this-session standalone script,computed,"max/min of per-angle mean UCS; LARGER than tensile ratio for gneiss -- contradicts prior manuscript claim, see figure_metrics.csv",session_1_20260716,Augen Gneiss
compressive_anisotropy_ratio,1.6882,dimensionless,"7 angles, 52 total specimens",selected_all_samples.csv,this-session standalone script,computed,,session_1_20260716,Psammatic Schist
strength_minimum_angle,75,degrees,7 angles,selected_all_samples.csv,this-session standalone script,computed,angle with minimum mean tensile strength,session_1_20260716,Augen Gneiss
strength_minimum_value,6.266,MPa,7 angles,selected_all_samples.csv,this-session standalone script,computed,,session_1_20260716,Augen Gneiss
strength_minimum_angle,60,degrees,7 angles,selected_all_samples.csv,this-session standalone script,computed,,session_1_20260716,Psammatic Schist
strength_minimum_value,5.303,MPa,7 angles,selected_all_samples.csv,this-session standalone script,computed,,session_1_20260716,Psammatic Schist
fracture_orientation_MAE,,degrees,0,none (no photos),,not_computable,No post-failure photographs/digitized traces exist in the repo; see revision_outputs/fracture_orientation_validation.csv,session_1_20260716,both
fracture_orientation_RMSE,,degrees,0,none,,not_computable,,session_1_20260716,both
fracture_orientation_median_error,,degrees,0,none,,not_computable,,session_1_20260716,both
fracture_orientation_max_error,,degrees,0,none,,not_computable,,session_1_20260716,both
fracture_orientation_pct_within_5deg,,percent,0,none,,not_computable,,session_1_20260716,both
fracture_orientation_pct_within_10deg,,percent,0,none,,not_computable,,session_1_20260716,both
mechanism_classification_agreement,,percent,0,none,,not_computable,No observed mechanism data; see revision_outputs/failure_mechanism_validation.csv,session_1_20260716,both
mechanism_per_class_support,,count,0,none,,not_computable,,session_1_20260716,both
fig17_displacement_asymmetry_index,,dimensionless,0,not located this pass,,not_computable,Underlying displacement-profile array not found in ddm_fields/fields_npz/ cache during this pass; see figure_metrics.csv,session_1_20260716,Augen Gneiss
fig18_max_angle,,degrees,0,"Tensile_general_plots.ipynb (out of scope, read-only, not completed)",,not_computable,See figure_metrics.csv,session_1_20260716,both
fig18_max_value,,dimensionless,0,same as above,,not_computable,,session_1_20260716,both
fig19_n_components_p75_low_angle,"6,4,6 (0,15,30 deg)",count,3 angles,ddm_fields/fields_npz/sample_0001..0003,this-session standalone script,computed,full table in figure19_energy_corridor_metrics.csv,session_1_20260716,Augen Gneiss
fig19_n_components_p75_low_angle,"6,8,6 (0,15,30 deg)",count,3 angles,ddm_fields/fields_npz/sample_0008..0010,this-session standalone script,computed,,session_1_20260716,Psammatic Schist
fig19_largest_component_elongation_high_angle,4.72-4.91 (45-90 deg),dimensionless,4 angles,ddm_fields/fields_npz/sample_0004..0007,this-session standalone script,computed,"nearly identical to schist at same angles -- lithology does not clearly distinguish this metric, see figure_metrics.csv",session_1_20260716,Augen Gneiss
fig19_largest_component_elongation_high_angle,4.72-5.04 (45-90 deg),dimensionless,4 angles,ddm_fields/fields_npz/sample_0011..0014,this-session standalone script,computed,,session_1_20260716,Psammatic Schist
fig20_G_over_Gc_oscillation_metric,,various,0,KI/KII/G-Gc step data not found in inspected cache this pass,,not_computable,See figure_metrics.csv,session_1_20260716,Augen Gneiss
fig20_mode_mixity,,dimensionless,0,same as above,,not_computable,,session_1_20260716,Augen Gneiss
classifier_old_tensile_resolves_to_WT_fraction,0.969,fraction,"7 specimens, ~35450 old-tensile-labeled points",ddm_fields/fields_npz/sample_0001..0007 (production stress fields) via failure_mode_map_4class,revision_outputs/classifier_mapping.csv,computed,Confirms the manuscript's own qualitative caveat (line ~1728 pre-revision) that foliation-parallel 'tensile' labels are largely weak-plane delamination,session_1_20260716,Augen Gneiss
kmax_insensitivity_relative_variation_0to60deg,<1,percent,6 angles x 2 lithologies,kmax_mixed_fraction_summary.csv,this-session standalone script,computed,see revision_outputs/sensitivity_k_max_summary.csv,session_1_20260716,Augen Gneiss and Psammatic Schist
kmax_insensitivity_relative_variation_75_90deg,"9.09, 47.17",percent,2 angles,kmax_mixed_fraction_summary.csv,this-session standalone script,computed,,session_1_20260716,Augen Gneiss
kmax_insensitivity_relative_variation_75_90deg,"55.00, 49.20",percent,2 angles,kmax_mixed_fraction_summary.csv,this-session standalone script,computed,,session_1_20260716,Psammatic Schist
WT_area_fraction_gneiss_0deg,0.0048,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
WS_area_fraction_gneiss_0deg,0.0193,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
MT_area_fraction_gneiss_0deg,0.0046,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
MS_area_fraction_gneiss_0deg,0.5635,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
failed_point_fraction_gneiss_0deg,0.5922,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,,step2_20260807,
WT_area_fraction_gneiss_90deg,0.0959,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight | updated 2026-08-08 for regenerated strength table (was 0.0929),session_3_20260808,
WS_area_fraction_gneiss_90deg,0.005,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
MT_area_fraction_gneiss_90deg,0.0201,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight | updated 2026-08-08 for regenerated strength table (was 0.0181),session_3_20260808,
MS_area_fraction_gneiss_90deg,0.1277,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight | updated 2026-08-08 for regenerated strength table (was 0.1283),session_3_20260808,
failed_point_fraction_gneiss_90deg,0.2486,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed, | updated 2026-08-08 for regenerated strength table (was 0.2443),session_3_20260808,
WT_area_fraction_schist_0deg,0.0038,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
WS_area_fraction_schist_0deg,0.0197,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
MT_area_fraction_schist_0deg,0.0012,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
MS_area_fraction_schist_0deg,0.8339,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight,step2_20260807,
failed_point_fraction_schist_0deg,0.8586,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,,step2_20260807,
WT_area_fraction_schist_90deg,0.0957,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight | updated 2026-08-08 for regenerated strength table (was 0.0547),session_3_20260808,
WS_area_fraction_schist_90deg,0.0801,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight | updated 2026-08-08 for regenerated strength table (was 0.0813),session_3_20260808,
MT_area_fraction_schist_90deg,0.0466,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight | updated 2026-08-08 for regenerated strength table (was 0.0303),session_3_20260808,
MS_area_fraction_schist_90deg,0.2712,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,fraction of in-disc points; weak-plane utilities gated by activation weight | updated 2026-08-08 for regenerated strength table (was 0.3074),session_3_20260808,
failed_point_fraction_schist_90deg,0.4936,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed, | updated 2026-08-08 for regenerated strength table (was 0.4736),session_3_20260808,
WS_max_gneiss,0.128 at 60 deg,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,,step2_20260807,
WS_max_schist,0.134 at 75 deg,fraction,1,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,,step2_20260807,
fourclass_threshold,1.0,dimensionless,14,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,R >= 1 defines failure,step2_20260807,
fourclass_eta_mix,0.9,dimensionless,14,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,secondary mixed flag when R_second/R_max >= eta_mix,step2_20260807,
weak_plane_activation_floor,0.05,dimensionless,14,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,weak-plane utilities inadmissible below this activation weight,step2_20260807,
weak_plane_T_ratio,0.35,dimensionless,14,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,T_wp = 0.35 T0; proxy - no foliation-plane strength tests exist,step2_20260807,
weak_plane_c_ratio,0.6,dimensionless,14,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,c_wp = 0.60 c; proxy,step2_20260807,
candidate_plane_resolution_n_theta,361,count,14,revision_outputs/fourclass_area_fractions.csv,revision_outputs/scripts/make_step2_figures.py,computed,"scan over [0,pi); 361 vs 1441 agree to 0.00%",step2_20260807,
fig20_mean_reversal_fraction__low_angles,0.3802,fraction,6,physics_force/smoke_trace_sid1..14.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,fraction of steps at which G/Gc decreases,session_3_20260808,
fig20_mean_reversal_fraction__intermediate_angles,0.4625,fraction,4,physics_force/smoke_trace_sid1..14.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,comparable to low band,session_3_20260808,
fig20_mean_shear_fraction__low_angles,0.7527,fraction,6,physics_force/smoke_trace_sid1..14.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,|KII|/|KI|>0.5; contradicts Mode-I dominance at low angles,session_3_20260808,
fig20_CV_ratio_low_over_intermediate,0.9936,dimensionless,14,physics_force/smoke_trace_sid1..14.csv,scripts/make_fig20_supplement.py (tools/fracture_energy.py),computed,~1 => oscillation not confined to intermediate angles,session_3_20260808,
